"","PERMNO","YEAR","RET","ret"
"366",10032,1999,0.298900839192091,0.298900839192091
"367",10032,2000,0.381385865837173,0.381385865837173
"368",10032,2001,-0.126053819044661,-0.126053819044661
"369",10032,2002,-0.669428516578544,-0.669428516578544
"370",10032,2003,0.955593461983752,0.955593461983752
"371",10032,2004,-0.242286173807332,-0.242286173807332
"372",10032,2005,0.747887169011622,0.747887169011622
"373",10032,2006,0.0501287016509364,0.0501287016509364
"374",10032,2007,0.0996565149828679,0.0996565149828679
"375",10032,2008,-0.354529843450773,-0.354529843450773
"376",10032,2009,0.680227568852987,0.680227568852987
"377",10032,2010,0.0863735221663546,0.0863735221663546
"378",10032,2011,-0.115061442597011,-0.115061442597011
"379",10032,2012,-0.0577088472846189,-0.0577088472846189
"380",10032,2013,0.67789357138288,0.67789357138288
"381",10032,2014,-0.048045654182351,-0.048045654182351
"382",10032,2015,-0.152632330149116,-0.152632330149116
"383",10032,2016,0.547547136613338,0.547547136613338
"384",10032,2017,0.123612382660587,0.123612382660587
"385",10033,1986,0.934414452493187,0.934414452493187
"386",10034,1986,-0.228571244794258,-0.228571244794258
"387",10034,1987,-0.125924155565227,-0.125924155565227
"388",10034,1988,0.756371459061576,0.756371459061576
"389",10034,1989,-0.0948998897357116,-0.0948998897357116
"390",10034,1990,-0.088064851203894,-0.088064851203894
"391",10034,1991,0.419352506102925,0.419352506102925
"392",10035,1986,-0.694212778805608,-0.694212778805608
"393",10035,1987,-0.283784224518888,-0.283784224518888
"394",10035,1988,2.05660915359773,2.05660915359773
"395",10035,1989,0.197528360589491,0.197528360589491
"396",10035,1990,0.463912140086529,0.463912140086529
"397",10035,1991,0.591542678289877,0.591542678289877
"398",10035,1992,-0.238941901346261,-0.238941901346261
"399",10035,1993,0.209306360990039,0.209306360990039
"400",10035,1994,-0.0865372682561976,-0.0865372682561976
"401",10035,1995,-0.24210666526568,-0.24210666526568
"402",10035,1996,-0.277780531908938,-0.277780531908938
"403",10035,1997,0.173077839964417,0.173077839964417
"404",10035,1998,-0.155739970576056,-0.155739970576056
"405",10035,1999,0.446595795920559,0.446595795920559
"406",10035,2000,-0.67785309126685,-0.67785309126685
"407",10035,2001,0.326675042331328,0.326675042331328
"408",10035,2002,-0.535177251895755,-0.535177251895755
"409",10035,2003,0.10810634648964,0.10810634648964
"410",10036,1986,-0.592593508350207,-0.592593508350207
"411",10036,1987,-0.522728694979926,-0.522728694979926
"412",10036,1988,-0.857143049224893,-0.857143049224893
